Title,Author,Price,Link,Category,ISBN13,Binding,Subject,Publisher,Publisher Imprint,Publication Date,Pages,Original Price,Language,Edition,Item Weight
Jacob's Room,by Virginia Woolf,Rs. 147.00,https://atlanticbooks.com/products/jacobs-room,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-04-2023,200,INR 195.00,English,N/A,160 grams
Aristotle's Politics,by Translated by Benjamin Jowett,Rs. 347.00,https://atlanticbooks.com/collections/non-fiction/products/aristotles-politics,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2020,242,INR 495.00,English,N/A,240 grams
A Portrait Of The Artist As A Young Man,by James Joyce,Rs. 175.00,https://atlanticbooks.com/collections/non-fiction/products/a-portrait-of-the-artist-as-a-young-man,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,30-11-2023,236,INR 250.00,English,N/A,160 grams
24 The Challenging New Number Puzzle,by John Enock,Rs. 113.00,https://atlanticbooks.com/collections/non-fiction/products/24-the-challenging-new-number-puzzle,Non-Fiction,9.79E+12,Paperback,General Books,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-07-2010,152,INR 150.00,English,N/A,70 grams
Jacob's Room,by Virginia Woolf,Rs. 147.00,https://atlanticbooks.com/products/jacobs-room,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-04-2023,200,INR 195.00,English,N/A,160 grams
Jane Eyre,by Charlotte Bronte,Rs. 263.00,https://atlanticbooks.com/products/jane-eyre,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,03-01-2023,488,INR 350.00,English,N/A,330 grams
Joseph Andrews,by Henry Fielding,Rs. 222.00,https://atlanticbooks.com/products/joseph-andrews,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,18-09-2023,358,INR 295.00,English,N/A,250 grams
Journey To The Centre Of The Earth,by Jules Verne,Rs. 147.00,https://atlanticbooks.com/products/journey-to-the-centre-of-the-earth,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2021,194,INR 195.00,English,N/A,300 grams
Jude The Obscure,by Thomas Hardy,Rs. 263.00,https://atlanticbooks.com/products/jude-the-obscure,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,416,INR 375.00,English,N/A,370 grams
Little Women,by Louisa May Alcott,Rs. 263.00,https://atlanticbooks.com/products/little-women,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,N/A,470,INR 350.00,English,N/A,450 grams
Lord Jim,by Joseph Conrad,Rs. 193.00,https://atlanticbooks.com/products/lord-jim,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,09-12-2023,336,INR 275.00,English,N/A,310 grams
Man And Superman,by George Bernard Shaw,Rs. 263.00,https://atlanticbooks.com/products/man-and-superman,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,29-05-2023,252,INR 375.00,English,N/A,100 grams
Mansfield Park,by Jane Austen,Rs. 207.00,https://atlanticbooks.com/products/mansfield-park,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-07-2018,422,INR 295.00,English,N/A,401 grams
Metamorphosis,by Franz Kafka,Rs. 94.00,https://atlanticbooks.com/products/metamorphosis,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,01-10-2024,78,INR 125.00,English,N/A,70 grams
Moll Flanders,by Daniel Defoe,Rs. 175.00,https://atlanticbooks.com/products/moll-flanders,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,27-06-2023,322,INR 250.00,English,N/A,300 grams
Mrs. Dalloway,by Virginia Woolf,Rs. 175.00,https://atlanticbooks.com/products/mrs-dalloway,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-07-2023,160,INR 250.00,English,N/A,190 grams
Orlando,by Virginia Woolf,Rs. 207.00,https://atlanticbooks.com/products/orlando,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,248,INR 295.00,English,N/A,250 grams
Persuasion,by Jane Austen,Rs. 175.00,https://atlanticbooks.com/products/persuasion,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2021,232,INR 250.00,English,N/A,220 grams
She Stoops To Conquer,by Oliver Goldsmith,Rs. 175.00,https://atlanticbooks.com/products/she-stoops-to-conquer,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-08-2023,86,INR 250.00,English,N/A,190 grams
Sons And Lovers,by D.H. Lawrence,Rs. 245.00,https://atlanticbooks.com/products/sons-and-lovers,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2021,452,INR 350.00,English,N/A,390 grams
Tess Of The D'Urbervilles,by Thomas Hardy,Rs. 262.00,https://atlanticbooks.com/products/tess-of-the-durbervilles,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,30-01-2024,452,INR 349.00,English,N/A,300 grams
The Charles Dickens Collection,by Charles Dickens,"Rs. 1,084.00",https://atlanticbooks.com/products/the-charles-dickens-collection,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,2080,INR 1445.00,English,N/A,1476 grams
The D.H. Lawrence Collection,by D.H. Lawrence,"Rs. 1,076.00",https://atlanticbooks.com/products/the-d-h-lawrence-collection,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,1850,INR 1434.00,English,N/A,1313 grams
The Invisible Man,by H.G. Wells,Rs. 132.00,https://atlanticbooks.com/products/the-invisible-man,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,160,INR 175.00,English,N/A,130 grams
The Jane Austen Collection,by Jane Austen,"Rs. 1,122.00",https://atlanticbooks.com/products/the-jane-austen-collection,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,2006,INR 1495.00,English,N/A,1450 grams
The Jungle Books,by Rudyard Kipling,Rs. 175.00,https://atlanticbooks.com/products/the-jungle-books,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,350,INR 250.00,English,N/A,340 grams
The Mayor Of Casterbridge,by Thomas Hardy,Rs. 193.00,https://atlanticbooks.com/products/the-mayor-of-casterbridge,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-07-2023,336,INR 275.00,English,N/A,170 grams
The Merchant Of Venice,by William Shakespeare,Rs. 94.00,https://atlanticbooks.com/products/the-merchant-of-venice,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,21-03-2023,96,INR 125.00,English,N/A,760 grams
The Picture Of Dorian Gray,by Oscar Wilde,Rs. 188.00,https://atlanticbooks.com/products/the-picture-of-dorian-gray,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,01-05-2023,264,INR 250.00,English,N/A,210 grams
The Professor,by Charlotte Bronte,Rs. 277.00,https://atlanticbooks.com/products/the-professor,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-04-2023,310,INR 395.00,English,N/A,340 grams
The Rainbow,by D.H. Lawrence,Rs. 297.00,https://atlanticbooks.com/products/the-rainbow,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-08-2024,518,INR 395.00,English,N/A,210 grams
The Return Of The Native,by Thomas Hardy,Rs. 207.00,https://atlanticbooks.com/products/the-return-of-the-native,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,440,INR 295.00,English,N/A,370 grams
The Scarlet Letter,by Nathaniel Hawthorne,Rs. 169.00,https://atlanticbooks.com/products/the-scarlet-letter,Non-Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,21-03-2023,258,INR 225.00,English,N/A,180 grams
The Secret Agent,by Joseph Conrad,Rs. 137.00,https://atlanticbooks.com/products/the-secret-agent,Non-Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2020,276,INR 195.00,English,N/A,260 grams
Volpone,by Ben Jonson,Rs. 158.00,https://atlanticbooks.com/collections/classics/products/volpone,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2020,132,INR 225.00,English,N/A,180 grams
Henry Iv Part One,by William Shakespeare,Rs. 137.00,https://atlanticbooks.com/collections/classics/products/henry-iv-part-one,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,138,INR 195.00,English,N/A,190 grams
Animal Farm,by George Orwell,Rs. 94.00,https://atlanticbooks.com/collections/classics/products/animal-farm,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,03-07-2023,96,INR 125.00,English,N/A,770 grams
The Old Man and the Sea,by Ernest Hemingway,Rs. 175.00,https://atlanticbooks.com/collections/classics/products/the-old-man-and-the-sea,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,11-08-2023,98,INR 250.00,English,N/A,190 grams
Pride And Prejudice,by Jane Austen,Rs. 222.00,https://atlanticbooks.com/collections/classics/products/pride-and-prejudice,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,02-04-2024,340,INR 295.00,English,N/A,230 grams
Oliver Twist,by Charles Dickens,Rs. 277.00,https://atlanticbooks.com/collections/classics/products/oliver-twist,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,472,INR 395.00,English,N/A,400 grams
Ulysses,by James Joyce,Rs. 597.00,https://atlanticbooks.com/collections/classics/products/ulysses-by-james-joyce-9788124805732,Classics,9.79E+12,Hardcover,English Literature,Peacock Books,N/A,13-01-2025,780,INR 795.00,English,N/A,800 grams
The Railway Children,by E. Nesbit,Rs. 146.00,https://atlanticbooks.com/collections/classics/products/the-railway-children-9788124806203,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-01-2025,204,INR 195.00,English,N/A,160 grams
The Odyssey,by Homer,Rs. 184.00,https://atlanticbooks.com/collections/classics/products/the-odyssey-9788124806401,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-01-2025,326,INR 245.00,English,N/A,300 grams
Siddhartha,by Hermann Hesse,Rs. 113.00,https://atlanticbooks.com/collections/classics/products/siddhartha-9788124806128,Classics,9.79E+12,Paperback,Religion and Philosophy,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-01-2025,124,INR 150.00,English,N/A,110 grams
A Doll's House,by Henrik Ibsen,Rs. 105.00,https://atlanticbooks.com/collections/classics/products/a-dolls-house-9788124805992,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-01-2025,140,INR 150.00,English,N/A,110 grams
The Complete Grimm's Fairy Tales,"by Jacob Grimm , Wilhelm Grimm",Rs. 372.00,https://atlanticbooks.com/collections/classics/products/the-complete-grimms-fairy-tales-by-jacob-grimm-wilhelm-grimm-9788124805794,Classics,9.79E+12,Paperback,Children Books,Peacock Books,N/A,13-01-2025,670,INR 495.00,English,N/A,600 grams
Treasure Island,by Robert Louis Stevenson,Rs. 137.00,https://atlanticbooks.com/collections/classics/products/treasure-island,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,200,INR 195.00,English,N/A,230 grams
Three Men In A Boat,by Jerome K. Jerome,Rs. 132.00,https://atlanticbooks.com/collections/classics/products/three-men-in-a-boat,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,160,INR 175.00,English,N/A,180 grams
The Wind In The Willows,by Kenneth Grahame,Rs. 113.00,https://atlanticbooks.com/collections/classics/products/the-wind-in-the-willows,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,27-06-2015,152,INR 150.00,English,N/A,170 grams
The Way Of The World,by William Congreve,Rs. 132.00,https://atlanticbooks.com/collections/classics/products/the-way-of-the-world,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,19-07-2023,108,INR 175.00,English,N/A,820 grams
The Vicar Of Wakefield,by Oliver Goldsmith,Rs. 113.00,https://atlanticbooks.com/collections/classics/products/the-vicar-of-wakefield,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-09-2023,152,INR 150.00,English,N/A,180 grams
The Time Machine,by H.G. Wells,Rs. 94.00,https://atlanticbooks.com/collections/classics/products/the-time-machine,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,104,INR 125.00,English,N/A,800 grams
The Strange Case Of Dr. Jekyll And Mr. Hyde,by R. L. Stevenson,Rs. 158.00,https://atlanticbooks.com/collections/classics/products/the-strange-case-of-dr-jekyll-and-mr-hyde,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,80,INR 225.00,English,N/A,80 grams
The Jungle Books,by Rudyard Kipling,Rs. 175.00,https://atlanticbooks.com/collections/classics/products/the-jungle-books,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,350,INR 250.00,English,N/A,340 grams
The Importance Of Being Earnest,by Oscar Wilde,Rs. 94.00,https://atlanticbooks.com/collections/classics/products/the-importance-of-being-earnest,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,13-03-2023,80,INR 125.00,English,N/A,110 grams
The Best Short Stories,by Rudyard Kipling,Rs. 207.00,https://atlanticbooks.com/collections/classics/products/the-best-short-stories,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-07-2018,288,INR 275.00,English,N/A,320 grams
The Best Of Saki,by Saki (H.H. Munro),Rs. 132.00,https://atlanticbooks.com/collections/classics/products/the-best-of-saki,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,196,INR 175.00,English,N/A,80 grams
The Best of Children's Classics (MULTI VOL SET-8 Vols.),by Multiple Authors,"Rs. 1,197.00",https://atlanticbooks.com/collections/classics/products/the-best-of-childrens-classics-multi-vol-set-8-vols,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,1918,INR 1595.00,English,N/A,1421 grams
The Age Of Innocence,by Edith Wharton,Rs. 207.00,https://atlanticbooks.com/collections/classics/products/the-age-of-innocence,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,310,INR 275.00,English,N/A,210 grams
The Adventures Of Tom Sawyer,by Mark Twain,Rs. 169.00,https://atlanticbooks.com/collections/classics/products/the-adventures-of-tom-sawyer,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,23-02-2023,200,INR 225.00,English,N/A,140 grams
The Adventures Of Huckleberry Finn,by Mark Twain,Rs. 184.00,https://atlanticbooks.com/collections/classics/products/the-adventures-of-huckleberry-finn,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2020,276,INR 245.00,English,N/A,190 grams
She Stoops To Conquer,by Oliver Goldsmith,Rs. 175.00,https://atlanticbooks.com/collections/classics/products/she-stoops-to-conquer,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-08-2023,86,INR 250.00,English,N/A,190 grams
Pygmalion,by George Bernard Shaw,Rs. 94.00,https://atlanticbooks.com/collections/classics/products/pygmalion,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,29-03-2023,102,INR 125.00,English,N/A,800 grams
Othello,by William Shakespeare,Rs. 400.00,https://atlanticbooks.com/collections/classics/products/othello,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,03-01-2023,144,INR 499.00,English,95,80 grams
Nineteen Eighty-Four,by George Orwell,Rs. 245.00,https://atlanticbooks.com/collections/classics/products/nineteen-eighty-four,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,27-06-2023,276,INR 350.00,English,N/A,260 grams
Man And Superman,by George Bernard Shaw,Rs. 263.00,https://atlanticbooks.com/collections/classics/products/man-and-superman,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,29-05-2023,252,INR 375.00,English,N/A,100 grams
Madame Bovary,by Gustave Flaubert,Rs. 245.00,https://atlanticbooks.com/collections/classics/products/madame-bovary,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2020,360,INR 350.00,English,N/A,310 grams
Macbeth,by William Shakespeare,Rs. 109.00,https://atlanticbooks.com/collections/classics/products/macbeth,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,03-01-2023,118,INR 145.00,English,N/A,900 grams
Lady Chatterley'S Lover,by D.H. Lawrence,Rs. 207.00,https://atlanticbooks.com/collections/classics/products/lady-chatterleys-lover,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,336,INR 295.00,English,N/A,300 grams
King Solomon'S Mines,by H. Rider Haggard,Rs. 175.00,https://atlanticbooks.com/collections/classics/products/king-solomons-mines,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,208,INR 250.00,English,N/A,200 grams
Kim,by Rudyard Kipling,Rs. 207.00,https://atlanticbooks.com/collections/classics/products/kim,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,264,INR 295.00,English,N/A,420 grams
Journey To The Centre Of The Earth,by Jules Verne,Rs. 147.00,https://atlanticbooks.com/collections/classics/products/journey-to-the-centre-of-the-earth,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2021,194,INR 195.00,English,N/A,300 grams
Joseph Andrews,by Henry Fielding,Rs. 222.00,https://atlanticbooks.com/collections/classics/products/joseph-andrews,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,18-09-2023,358,INR 295.00,English,N/A,250 grams
Henry V,by William Shakespeare,Rs. 109.00,https://atlanticbooks.com/collections/classics/products/henry-v,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,26-05-2012,136,INR 145.00,English,N/A,90 grams
Ivanhoe,by Sir Walter Scott,Rs. 207.00,https://atlanticbooks.com/collections/classics/products/ivanhoe,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2006,464,INR 295.00,English,N/A,300 grams
Heart Of Darkness,by Joseph Conrad,Rs. 94.00,https://atlanticbooks.com/collections/classics/products/heart-of-darkness,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-07-2023,102,INR 125.00,English,N/A,790 grams
Frankenstein,by Mary Shelley,Rs. 147.00,https://atlanticbooks.com/collections/classics/products/frankenstein,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,03-03-2023,214,INR 195.00,English,N/A,150 grams
David Copperfield,by Charles Dickens,Rs. 487.00,https://atlanticbooks.com/collections/classics/products/david-copperfield,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-06-2023,900,INR 695.00,English,N/A,860 grams
Candida,by George Bernard Shaw,Rs. 175.00,https://atlanticbooks.com/collections/classics/products/candida,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2020,88,INR 250.00,English,N/A,150 grams
Around The World In Eighty Days,by Jules Verne,Rs. 132.00,https://atlanticbooks.com/collections/classics/products/around-the-world-in-eighty-days,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,27-06-2015,176,INR 175.00,English,N/A,200 grams
Antony And Cleopatra,by William Shakespeare,Rs. 137.00,https://atlanticbooks.com/collections/classics/products/antony-and-cleopatra,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2016,136,INR 195.00,English,N/A,200 grams
Wuthering Heights,by Emily Bronte,Rs. 188.00,https://atlanticbooks.com/collections/classics/products/wuthering-heights,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,13-03-2023,306,INR 250.00,English,N/A,210 grams
The Secret Agent,by Joseph Conrad,Rs. 137.00,https://atlanticbooks.com/products/the-secret-agent,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2020,276,INR 195.00,English,N/A,260 grams
The Scarlet Letter,by Nathaniel Hawthorne,Rs. 169.00,https://atlanticbooks.com/products/the-scarlet-letter,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,21-03-2023,258,INR 225.00,English,N/A,180 grams
The Return Of The Native,by Thomas Hardy,Rs. 207.00,https://atlanticbooks.com/products/the-return-of-the-native,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,440,INR 295.00,English,N/A,370 grams
The Rainbow,by D.H. Lawrence,Rs. 297.00,https://atlanticbooks.com/products/the-rainbow,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-08-2024,518,INR 395.00,English,N/A,210 grams
The Professor,by Charlotte Bronte,Rs. 277.00,https://atlanticbooks.com/products/the-professor,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-04-2023,310,INR 395.00,English,N/A,340 grams
The Picture Of Dorian Gray,by Oscar Wilde,Rs. 188.00,https://atlanticbooks.com/products/the-picture-of-dorian-gray,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,01-05-2023,264,INR 250.00,English,N/A,210 grams
The Merchant Of Venice,by William Shakespeare,Rs. 94.00,https://atlanticbooks.com/products/the-merchant-of-venice,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,21-03-2023,96,INR 125.00,English,N/A,760 grams
The Mayor Of Casterbridge,by Thomas Hardy,Rs. 193.00,https://atlanticbooks.com/products/the-mayor-of-casterbridge,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-07-2023,336,INR 275.00,English,N/A,170 grams
The Jungle Books,by Rudyard Kipling,Rs. 175.00,https://atlanticbooks.com/products/the-jungle-books,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,350,INR 250.00,English,N/A,340 grams
The Jane Austen Collection,by Jane Austen,"Rs. 1,122.00",https://atlanticbooks.com/products/the-jane-austen-collection,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,2006,INR 1495.00,English,N/A,1450 grams
The Invisible Man,by H.G. Wells,Rs. 132.00,https://atlanticbooks.com/products/the-invisible-man,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,160,INR 175.00,English,N/A,130 grams
The D.H. Lawrence Collection,by D.H. Lawrence,"Rs. 1,076.00",https://atlanticbooks.com/products/the-d-h-lawrence-collection,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,1850,INR 1434.00,English,N/A,1313 grams
The Charles Dickens Collection,by Charles Dickens,"Rs. 1,084.00",https://atlanticbooks.com/products/the-charles-dickens-collection,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,2080,INR 1445.00,English,N/A,1476 grams
Tess Of The D'Urbervilles,by Thomas Hardy,Rs. 262.00,https://atlanticbooks.com/products/tess-of-the-durbervilles,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,30-01-2024,452,INR 349.00,English,N/A,300 grams
Sons And Lovers,by D.H. Lawrence,Rs. 245.00,https://atlanticbooks.com/products/sons-and-lovers,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2021,452,INR 350.00,English,N/A,390 grams
She Stoops To Conquer,by Oliver Goldsmith,Rs. 175.00,https://atlanticbooks.com/products/she-stoops-to-conquer,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-08-2023,86,INR 250.00,English,N/A,190 grams
Persuasion,by Jane Austen,Rs. 175.00,https://atlanticbooks.com/products/persuasion,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2021,232,INR 250.00,English,N/A,220 grams
Orlando,by Virginia Woolf,Rs. 207.00,https://atlanticbooks.com/products/orlando,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,248,INR 295.00,English,N/A,250 grams
Mrs. Dalloway,by Virginia Woolf,Rs. 175.00,https://atlanticbooks.com/products/mrs-dalloway,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-07-2023,160,INR 250.00,English,N/A,190 grams
Moll Flanders,by Daniel Defoe,Rs. 175.00,https://atlanticbooks.com/products/moll-flanders,Classics,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,27-06-2023,322,INR 250.00,English,N/A,300 grams
Metamorphosis,by Franz Kafka,Rs. 94.00,https://atlanticbooks.com/products/metamorphosis,Classics,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,01-10-2024,78,INR 125.00,English,N/A,70 grams
